lang,authors,mean,std,min,max,median,p90,p95
ar,1537,1.9986987638256344,0.036060907024060875,1,2,2.0,2.0,2.0
ru,1162,1.9982788296041307,0.041469119912228646,1,2,2.0,2.0,2.0
zh,1013,1.996051332675222,0.06274521327742959,1,2,2.0,2.0,2.0
ko,981,1.996941896024465,0.055243668840996296,1,2,2.0,2.0,2.0
es,870,1.9977011494252874,0.04791873513609512,1,2,2.0,2.0,2.0
en,693,1.9855699855699855,0.1193412788264656,1,2,2.0,2.0,2.0
fr,346,1.9913294797687862,0.09284533561690396,1,2,2.0,2.0,2.0
de,319,1.9780564263322884,0.14672949252235554,1,2,2.0,2.0,2.0
hi,275,1.9963636363636363,0.06030226891555273,1,2,2.0,2.0,2.0
ja,168,1.9642857142857142,0.1861316623329841,1,2,2.0,2.0,2.0
