lang,genre,docs,pct_within_lang
ar,news,934,30.4
ar,poetry,676,22.01
ar,social_media/sports,396,12.89
ar,social_media/entertainment,282,9.18
ar,social_media/people,189,6.15
ar,social_media/politics,179,5.83
ar,social_media/environment,90,2.93
ar,social_media/technology,83,2.7
ar,social_media/science,39,1.27
ar,social_media/social,36,1.17
ar,social_media/health,32,1.04
ar,social_media/business,30,0.98
ar,social_media/cryptocurrency,27,0.88
ar,social_media/law,23,0.75
ar,literature,17,0.55
ar,social_media/investing,14,0.46
ar,social_media/finance,13,0.42
ar,social_media/economy,11,0.36
ar,literature/speech_essay,1,0.03
de,literature,308,48.81
de,news,97,15.37
de,social_media/politics,43,6.81
de,social_media/sports,30,4.75
de,social_media/technology,30,4.75
de,social_media/entertainment,28,4.44
de,social_media/people,27,4.28
de,social_media/environment,11,1.74
de,social_media/science,10,1.58
de,social_media/health,9,1.43
de,social_media/social,8,1.27
de,social_media/business,7,1.11
de,social_media/finance,7,1.11
de,social_media/law,7,1.11
de,social_media/economy,6,0.95
de,social_media/cryptocurrency,2,0.32
de,social_media/investing,1,0.16
en,news,515,37.43
en,blog/indunk,256,18.6
en,ecommerce_reviews,152,11.05
en,blog/student,146,10.61
en,blog/technology,42,3.05
en,blog/education,32,2.33
en,blog/engineering,20,1.45
en,blog/non-profit,20,1.45
en,blog/communications-media,18,1.31
en,blog/arts,16,1.16
en,blog/internet,14,1.02
en,research_paper,12,0.87
en,social_media/sports,9,0.65
en,blog/chemicals,8,0.58
en,blog/publishing,8,0.58
en,blog/advertising,6,0.44
en,blog/consulting,6,0.44
en,blog/government,6,0.44
en,blog/law,6,0.44
en,social_media/youtube_comment,6,0.44
en,social_media/people,5,0.36
en,social_media/technology,5,0.36
en,blog/banking,4,0.29
en,blog/businessservices,4,0.29
en,blog/military,4,0.29
en,blog/religion,4,0.29
en,blog/science,4,0.29
en,blog/telecommunications,4,0.29
en,blog/tourism,4,0.29
en,blog/transportation,4,0.29
en,blog/accounting,2,0.15
en,blog/agriculture,2,0.15
en,blog/architecture,2,0.15
en,blog/automotive,2,0.15
en,blog/biotech,2,0.15
