genre,docs,pct_all_docs
news,4410,30.02
literature,2931,19.96
media_reviews/douban,1366,9.3
social_media/entertainment,803,5.47
social_media/people,754,5.13
poetry,676,4.6
social_media/politics,602,4.1
social_media/sports,554,3.77
social_media/technology,328,2.23
social_media/environment,296,2.02
blog/indunk,256,1.74
social_media/social,180,1.23
social_media/science,162,1.1
social_media/health,155,1.06
ecommerce_reviews,152,1.03
social_media/xiaohongshu,150,1.02
blog/student,146,0.99
social_media/business,113,0.77
social_media/cryptocurrency,99,0.67
social_media/finance,70,0.48
social_media/investing,68,0.46
social_media/law,65,0.44
social_media/economy,57,0.39
blog/technology,42,0.29
blog/education,32,0.22
social_media/youtube_comment,22,0.15
blog/engineering,20,0.14
blog/non-profit,20,0.14
blog/communications-media,18,0.12
blog/arts,16,0.11
blog/internet,14,0.1
research_paper,12,0.08
blog/publishing,8,0.05
blog/chemicals,8,0.05
blog/law,6,0.04
blog/advertising,6,0.04
blog/government,6,0.04
blog/consulting,6,0.04
blog/transportation,4,0.03
blog/military,4,0.03
blog/tourism,4,0.03
blog/telecommunications,4,0.03
blog/banking,4,0.03
blog/religion,4,0.03
blog/businessservices,4,0.03
blog/science,4,0.03
blog/architecture,2,0.01
blog/agriculture,2,0.01
blog/biotech,2,0.01
blog/automotive,2,0.01
blog/humanresources,2,0.01
blog/construction,2,0.01
blog/environment,2,0.01
blog/fashion,2,0.01
blog/lawenforcement-security,2,0.01
literature/drama,2,0.01
blog/museums-libraries,2,0.01
blog/sports-recreation,2,0.01
blog/accounting,2,0.01
literature/speech_essay,1,0.01
