doc_type,lang,docs,pct_within_doc_type,pct_all_docs
candidate,ar,1536,20.92,10.46
candidate,ru,1160,15.8,7.9
candidate,zh,1012,13.78,6.89
candidate,ko,981,13.36,6.68
candidate,es,869,11.83,5.92
candidate,en,688,9.37,4.68
candidate,fr,344,4.68,2.34
candidate,de,315,4.29,2.14
candidate,hi,274,3.73,1.87
candidate,ja,165,2.25,1.12
query,ar,1536,20.92,10.46
query,ru,1162,15.82,7.91
query,zh,1010,13.75,6.88
query,ko,978,13.32,6.66
query,es,869,11.83,5.92
query,en,688,9.37,4.68
query,fr,345,4.7,2.35
query,de,316,4.3,2.15
query,hi,275,3.74,1.87
query,ja,165,2.25,1.12
