split,doc_type,lang,docs,pct_within_split_doc_type
dev,candidate,ar,29,23.2
dev,candidate,ru,22,17.6
dev,candidate,ko,17,13.6
dev,candidate,zh,16,12.8
dev,candidate,en,15,12.0
dev,candidate,es,12,9.6
dev,candidate,hi,5,4.0
dev,candidate,fr,4,3.2
dev,candidate,ja,3,2.4
dev,candidate,de,2,1.6
dev,query,ar,28,22.4
dev,query,ru,22,17.6
dev,query,ko,17,13.6
dev,query,zh,16,12.8
dev,query,en,15,12.0
dev,query,es,12,9.6
dev,query,hi,5,4.0
dev,query,fr,4,3.2
dev,query,de,3,2.4
dev,query,ja,3,2.4
test,candidate,ar,29,21.32
test,candidate,ko,23,16.91
test,candidate,ru,19,13.97
test,candidate,zh,19,13.97
test,candidate,es,15,11.03
test,candidate,en,14,10.29
test,candidate,hi,5,3.68
test,candidate,ja,5,3.68
test,candidate,fr,4,2.94
test,candidate,de,3,2.21
test,query,ar,29,21.32
test,query,ko,23,16.91
test,query,ru,19,13.97
test,query,zh,19,13.97
test,query,es,15,11.03
test,query,en,14,10.29
test,query,hi,5,3.68
test,query,ja,5,3.68
test,query,fr,4,2.94
test,query,de,3,2.21
train,candidate,ar,1478,20.87
train,candidate,ru,1119,15.8
train,candidate,zh,977,13.79
train,candidate,ko,941,13.29
train,candidate,es,842,11.89
train,candidate,en,659,9.3
train,candidate,fr,336,4.74
train,candidate,de,310,4.38
train,candidate,hi,264,3.73
train,candidate,ja,157,2.22
train,query,ar,1479,20.88
train,query,ru,1121,15.83
train,query,zh,975,13.77
train,query,ko,938,13.24
train,query,es,842,11.89
train,query,en,659,9.3
train,query,fr,337,4.76
train,query,de,310,4.38
train,query,hi,265,3.74
train,query,ja,157,2.22
