lang,primary_genre,docs,pct_within_lang
ar,social_media,1444,47.01
ar,news,934,30.4
ar,poetry,676,22.01
ar,literature,18,0.59
de,literature,308,48.81
de,social_media,226,35.82
de,news,97,15.37
en,blog,660,47.97
en,news,515,37.43
en,ecommerce_reviews,152,11.05
en,social_media,35,2.54
en,research_paper,12,0.87
en,literature,2,0.15
es,literature,1482,85.27
es,news,195,11.22
es,social_media,61,3.51
fr,literature,384,55.73
fr,social_media,174,25.25
fr,news,131,19.01
hi,social_media,483,87.98
hi,literature,66,12.02
ja,news,320,96.97
ja,social_media,10,3.03
ko,social_media,1127,57.53
ko,news,832,42.47
ru,news,952,41.0
ru,social_media,700,30.15
ru,literature,670,28.85
zh,media_reviews,1366,67.56
zh,news,434,21.46
zh,social_media,218,10.78
zh,literature,4,0.2
