lang,token_length_bucket,docs,pct_within_lang
ar,medium,1729,56.28
ar,long,1236,40.23
ar,short,90,2.93
ar,extra_long,17,0.55
de,long,411,65.13
de,medium,212,33.6
de,short,6,0.95
de,extra_long,2,0.32
en,medium,783,56.9
en,short,385,27.98
en,long,160,11.63
en,extra_long,48,3.49
es,long,1334,76.75
es,medium,363,20.89
es,short,40,2.3
es,extra_long,1,0.06
fr,long,473,68.65
fr,medium,199,28.88
fr,short,17,2.47
hi,medium,294,53.55
hi,long,253,46.08
hi,short,2,0.36
ja,medium,224,67.88
ja,long,104,31.52
ja,short,2,0.61
ko,medium,1183,60.39
ko,long,633,32.31
ko,short,143,7.3
ru,medium,1253,53.96
ru,long,1029,44.32
ru,short,38,1.64
ru,extra_long,2,0.09
zh,medium,1315,65.03
zh,long,485,23.99
zh,short,219,10.83
zh,extra_long,3,0.15
