lang,docs,mean,std,min,max,median,p10,p25,p50,p75,p90,p95
ar,3072,101.55826822916667,106.76741181033799,1,1995,82.0,39.0,55.0,82.0,123.25,177.0,191.44999999999982
ru,2322,92.82773471145565,77.25705090567594,3,1574,92.0,24.0,44.0,92.0,118.0,140.0,190.89999999999964
zh,2022,68.33926805143422,65.79479164552271,2,814,46.0,10.0,19.0,46.0,99.0,157.9000000000001,181.94999999999982
ko,1959,88.13169984686064,75.65200427947228,2,321,67.0,14.0,28.0,67.0,123.0,214.60000000000014,264.0
es,1738,168.67318757192174,110.28342188952053,2,505,134.0,46.0,102.0,134.0,219.0,347.29999999999995,407.14999999999986
en,1376,73.74418604651163,164.61585023317625,1,2014,27.0,7.0,10.0,27.0,67.0,126.0,311.0
fr,689,167.17126269956458,124.1480724065805,2,500,117.0,37.0,92.0,117.0,228.0,381.20000000000005,431.20000000000005
de,631,141.08874801901743,107.19879937516875,6,1594,114.0,39.0,80.0,114.0,196.5,245.0,325.0
hi,549,123.591985428051,82.99457598951041,7,341,92.0,34.800000000000004,54.0,92.0,194.0,258.0,267.0
ja,330,91.10303030303031,45.544143287033485,9,300,88.0,46.0,65.25,88.0,106.0,135.0,175.55
