lang,doc_type,docs,mean,std,min,max,median,p10,p25,p50,p75,p90,p95
ar,candidate,1536,103.43033854166667,113.21002518372794,1,1992,83.0,39.0,55.0,83.0,126.0,177.0,192.25
ar,query,1536,99.68619791666667,99.91227666117632,2,1995,81.0,38.0,55.75,81.0,121.0,177.5,189.0
ru,query,1162,93.3881239242685,78.77307411769519,3,1574,92.5,24.0,44.0,92.5,118.0,140.0,191.95000000000005
ru,candidate,1160,92.26637931034483,75.73782425655905,3,1536,91.0,25.0,45.0,91.0,118.0,140.0,184.14999999999986
zh,candidate,1012,69.21837944664031,69.85759669616805,2,814,45.0,10.0,19.0,45.0,99.0,160.0,183.0
zh,query,1010,67.45841584158416,61.47740649926979,2,530,47.0,10.0,20.25,47.0,97.75,156.0,179.0
ko,candidate,981,88.17533129459736,75.74442690495815,2,321,67.0,14.0,28.0,67.0,122.0,217.0,261.0
ko,query,978,88.0879345603272,75.59791306784004,2,307,66.5,14.0,27.25,66.5,123.0,209.50000000000034,266.15
es,candidate,869,168.7054085155351,110.05082918940899,5,505,135.0,45.0,101.0,135.0,217.0,350.0,403.0
es,query,869,168.6409666283084,110.57889139898121,2,500,132.0,46.80000000000001,102.0,132.0,222.0,343.0,410.39999999999964
en,query,688,69.0813953488372,142.87325763249672,1,1233,27.0,6.0,10.0,27.0,61.0,123.0,306.7999999999997
en,candidate,688,78.40697674418605,183.79305354279487,1,2014,27.0,7.0,10.0,27.0,72.0,134.60000000000014,305.0499999999996
fr,query,345,164.63478260869564,123.37141388262266,6,500,115.0,35.0,82.0,115.0,231.0,371.0000000000001,416.6
fr,candidate,344,169.71511627906978,125.05005506711962,2,495,119.0,39.0,97.25,119.0,228.0,390.09999999999997,440.84999999999997
de,query,316,132.18354430379748,79.53135259638634,6,413,112.0,39.5,80.0,112.0,183.5,235.0,279.25
de,candidate,315,150.0222222222222,128.65112113607205,7,1594,116.0,38.400000000000006,80.5,116.0,205.0,249.20000000000016,368.60000000000014
hi,query,275,121.52,82.0675491758906,10,285,90.0,34.0,53.5,90.0,192.0,258.0,267.0
hi,candidate,274,125.67153284671532,84.01335228686534,7,341,92.5,36.0,55.25,92.5,204.75,257.1,269.0
ja,candidate,165,92.34545454545454,45.754068797539034,13,286,88.0,47.800000000000004,66.0,88.0,105.0,139.39999999999998,183.7999999999998
ja,query,165,89.86060606060606,45.438365782632474,9,300,87.0,42.40000000000001,64.0,87.0,106.0,126.79999999999998,163.59999999999997
