primary_genre,lang,docs,mean,std,min,max,median,p10,p25,p50,p75,p90,p95
literature,es,1482,186.43522267206478,105.2705086951205,13,505,145.0,98.0,110.0,145.0,234.0,358.9000000000001,423.85000000000014
social_media,ar,1444,68.7770083102493,46.563395757249324,1,353,60.0,20.30000000000001,45.0,60.0,75.0,133.0,179.0
media_reviews,zh,1366,61.0095168374817,62.79390603106464,2,800,35.0,8.0,16.0,35.0,94.0,158.0,177.0
social_media,ko,1127,54.15794143744454,49.076442768755506,2,243,34.0,10.0,18.0,34.0,77.0,139.39999999999998,163.0
news,ru,952,65.46008403361344,34.8614575588353,8,147,59.0,23.0,35.0,59.0,94.0,118.0,126.0
news,ar,934,114.51820128479658,47.13992751259796,10,200,108.0,52.30000000000001,78.0,108.0,167.0,180.0,184.0
news,ko,832,134.15144230769232,80.84454127220285,10,321,102.0,47.0,81.0,102.0,196.5,269.0,281.0
social_media,ru,700,72.12142857142857,43.78401075031864,3,224,67.5,17.900000000000006,33.0,67.5,112.0,131.10000000000002,139.04999999999995
poetry,ar,676,150.69082840236686,196.148614795332,16,1995,112.0,64.0,100.0,112.0,128.25,228.0,353.25
literature,ru,670,153.34776119402986,108.60100980105281,16,1574,119.0,101.0,108.0,119.0,150.5,253.30000000000007,328.0
blog,en,660,111.83030303030303,224.448022966488,1,2014,41.0,7.0,12.0,41.0,90.0,236.20000000000005,575.1999999999998
news,en,515,20.607766990291264,14.715906910897214,1,66,16.0,6.0,8.0,16.0,31.0,41.0,50.0
social_media,hi,483,129.5134575569358,84.8469046292051,7,302,99.0,34.2,55.0,99.0,206.5,260.8,269.0
news,zh,434,87.0852534562212,50.20879834250135,4,352,86.5,30.0,52.25,86.5,99.0,150.0,177.44999999999976
literature,fr,384,205.61197916666666,132.14347753514167,20,500,128.5,100.0,105.75,128.5,309.0,424.7,466.0
news,ja,320,91.040625,45.3358236103577,9,300,88.0,46.900000000000006,65.75,88.0,105.25,128.0,175.05
literature,de,308,158.7922077922078,120.52221741332086,27,1594,118.0,99.0,103.75,118.0,166.0,283.90000000000003,367.5999999999999
social_media,de,226,159.76106194690266,84.63325055385559,10,406,184.0,42.0,82.0,184.0,223.0,240.5,287.5
social_media,zh,218,70.33944954128441,76.27366689393367,2,367,33.0,11.0,18.0,33.0,104.75,174.90000000000003,226.64999999999975
news,es,195,33.84102564102564,18.43126990423731,2,79,35.0,9.0,20.0,35.0,45.0,61.599999999999994,66.29999999999998
social_media,fr,174,174.6494252873563,86.84800405833373,2,406,178.0,73.80000000000001,112.0,178.0,227.75,260.1,354.04999999999995
ecommerce_reviews,en,152,60.53947368421053,52.97767636560366,4,358,39.5,8.0,19.75,39.5,104.0,122.70000000000002,144.0
news,fr,131,44.55725190839695,22.28354353306269,3,87,42.0,13.0,27.5,42.0,65.0,75.0,79.0
news,de,97,41.371134020618555,17.336329621412602,6,88,40.0,18.800000000000004,34.0,40.0,53.0,65.4,70.59999999999997
literature,hi,66,80.25757575757575,50.21287319037454,22,341,69.5,35.0,50.75,69.5,90.5,140.0,160.0
social_media,es,61,168.1639344262295,102.90467762738304,3,399,189.0,11.0,79.0,189.0,237.0,244.0,356.0
social_media,en,35,179.25714285714287,117.21457017873193,5,360,142.0,24.6,103.0,142.0,296.5,340.2,354.6
literature,ar,18,213.66666666666666,125.65405356163639,87,506,162.5,102.7,151.0,162.5,230.5,432.90000000000003,493.25
research_paper,en,12,108.08333333333333,137.5773886901037,5,468,78.0,10.0,16.0,78.0,96.75,275.1000000000001,371.7499999999999
social_media,ja,10,93.1,54.508816819952266,18,177,97.5,21.6,51.0,97.5,135.0,151.79999999999998,164.39999999999998
literature,zh,4,428.5,298.2666592162121,105,814,397.5,169.8,267.0,397.5,559.0,712.0000000000001,762.9999999999999
literature,en,2,139.0,33.94112549695428,115,163,139.0,119.8,127.0,139.0,151.0,158.2,160.6
