lang,primary_genre,topic_cluster,docs_in_cluster,candidate_pairs_seen,positive_pairs_found,negative_pairs_found
es,literature,2,263,2473,23,934
es,literature,3,13,77,0,47
es,literature,4,11,55,0,43
es,literature,5,70,629,8,339
es,literature,6,24,177,0,94
es,literature,7,20,148,1,70
es,literature,8,593,6011,36,1962
es,literature,9,204,1551,17,1049
ar,news,0,16,102,2,84
ar,news,1,38,270,2,184
ar,news,2,103,729,13,500
ar,news,3,274,2081,23,1287
ar,news,4,27,201,3,126
ar,news,5,32,236,1,115
ar,news,6,21,156,3,152
ar,news,7,70,572,6,400
ar,news,8,202,1517,18,1056
ar,news,9,38,276,1,223
ru,news,0,73,548,2,363
ru,news,1,111,809,4,477
ru,news,2,64,447,0,238
ru,news,3,38,280,2,222
ru,news,4,37,275,3,199
ru,news,5,132,954,3,545
ru,news,6,80,546,1,339
ru,news,7,35,254,3,171
ru,news,8,98,676,7,431
ru,news,9,13,77,4,51
ru,literature,0,24,175,1,108
ru,literature,1,207,1767,12,861
ru,literature,2,34,246,0,142
ru,literature,3,58,462,7,245
ru,literature,4,18,120,2,61
ru,literature,5,12,66,0,54
ru,literature,6,62,472,1,273
ru,literature,7,59,455,2,240
ru,literature,9,185,1536,14,869
ko,news,0,55,365,10,237
ko,news,1,35,238,3,130
ko,news,2,180,1241,21,709
ko,news,3,50,328,8,205
ko,news,4,26,205,1,116
ko,news,5,30,233,7,226
ko,news,6,132,988,12,852
ko,news,7,55,456,4,261
ko,news,8,10,45,1,23
ko,news,9,47,333,7,206
ar,poetry,0,10,45,0,30
ar,poetry,1,24,164,2,124
ar,poetry,2,193,1691,8,583
ar,poetry,3,15,96,0,48
ar,poetry,5,54,432,2,264
ar,poetry,6,115,850,8,572
ar,poetry,7,25,173,0,156
ar,poetry,8,13,75,0,72
ar,poetry,9,141,1135,4,533
ar,social_media,0,65,495,18,325
ar,social_media,1,82,646,9,385
ar,social_media,2,125,1010,22,533
ar,social_media,3,26,183,0,183
ar,social_media,4,75,503,0,503
ar,social_media,5,33,210,1,209
ar,social_media,6,51,333,2,331
ar,social_media,7,53,407,8,238
ar,social_media,8,12,66,0,66
ar,social_media,9,23,167,0,167
ru,social_media,0,14,85,0,60
ru,social_media,1,183,1342,3,822
ru,social_media,2,29,201,0,110
ru,social_media,3,14,86,1,47
ru,social_media,4,38,268,0,159
ru,social_media,5,107,792,1,502
ru,social_media,6,28,209,6,96
ru,social_media,7,18,117,0,76
ru,social_media,8,27,185,3,155
ru,social_media,9,16,102,1,61
en,blog,2,13,77,0,66
en,blog,3,172,1708,10,289
en,blog,4,63,545,1,129
en,blog,5,26,174,3,69
en,blog,6,37,291,1,84
en,blog,7,21,156,0,91
en,blog,8,32,265,1,80
en,blog,9,40,325,0,76
fr,literature,1,118,937,13,582
fr,literature,2,21,158,2,61
fr,literature,6,18,129,2,56
fr,literature,7,20,144,2,66
fr,literature,8,177,1678,22,748
zh,media_reviews,0,15,99,1,85
zh,media_reviews,1,12,66,0,53
zh,media_reviews,3,16,109,0,94
zh,media_reviews,4,13,76,1,71
zh,media_reviews,5,222,1505,2,1216
zh,media_reviews,6,12,66,0,62
de,literature,1,162,1561,13,501
de,literature,7,18,122,6,72
de,literature,8,94,885,10,314
hi,social_media,1,17,111,2,71
hi,social_media,2,27,193,3,100
hi,social_media,3,36,259,1,134
hi,social_media,4,14,86,2,43
hi,social_media,5,114,792,16,425
hi,social_media,6,33,235,3,153
hi,social_media,7,28,197,1,114
hi,social_media,8,27,186,4,104
ko,social_media,0,94,719,13,545
ko,social_media,1,10,45,4,28
ko,social_media,2,10,45,4,30
ko,social_media,3,15,95,4,80
ko,social_media,4,22,148,3,98
ko,social_media,5,49,354,17,274
ko,social_media,6,50,366,10,271
ko,social_media,7,10,45,3,39
en,news,0,15,92,1,63
en,news,1,10,45,0,29
en,news,2,12,66,2,39
en,news,3,13,76,1,60
en,news,4,142,1022,17,678
en,news,5,35,240,5,153
en,news,6,10,45,0,19
en,news,7,17,113,1,74
de,social_media,2,11,55,3,52
de,social_media,4,18,115,2,37
de,social_media,5,19,129,8,118
de,social_media,6,150,1268,26,798
ja,news,1,114,788,19,597
ja,news,2,11,55,1,53
ja,news,4,34,229,6,164
ja,news,5,18,121,2,77
ja,news,6,10,45,3,37
fr,social_media,1,21,156,3,93
fr,social_media,2,26,185,3,107
fr,social_media,3,26,187,11,161
fr,social_media,4,70,532,17,380
fr,social_media,5,21,148,4,54
