lang,primary_genre,pair_type,pairs,avg_cosine_similarity,p90_cosine_similarity
ar,news,different_author_same_genre_same_topic,30,0.4909458610006792,0.6240933605853904
ar,social_media,different_author_same_genre_same_topic,30,0.5477543734620058,0.7225925316119709
ru,social_media,different_author_same_genre_same_topic,30,0.24234741786148903,0.28634257936041974
ko,news,different_author_same_genre_same_topic,30,0.5113302011885973,0.7558429921514259
ru,news,different_author_same_genre_same_topic,30,0.43161035740337156,0.5738527087571321
ar,poetry,different_author_same_genre_same_topic,27,0.25165059175272014,0.3619505832939401
ru,literature,different_author_same_genre_same_topic,27,0.24449079741441693,0.30537748690167693
ko,news,same_author_same_genre_same_topic,26,0.45598108816371447,0.8138687052017743
en,news,different_author_same_genre_same_topic,24,0.23624992289927618,0.3481097613649162
ar,news,same_author_same_genre_same_topic,24,0.4312284054974098,0.7145089841333299
es,literature,different_author_same_genre_same_topic,24,0.4248637193452128,0.6342188009315216
ko,social_media,different_author_same_genre_same_topic,24,0.5993292952853241,0.8856155669044254
en,blog,different_author_same_genre_same_topic,24,0.40482319160190966,0.5232962364072685
ko,social_media,same_author_same_genre_same_topic,24,0.6586502880402992,0.9985778336407849
hi,social_media,different_author_same_genre_same_topic,24,0.38922744741012183,0.5905700138090777
ru,news,same_author_same_genre_same_topic,23,0.4160537061374183,0.8572477380493457
zh,media_reviews,different_author_same_genre_same_topic,18,0.22996212412856318,0.38947549243534246
hi,social_media,same_author_same_genre_same_topic,18,0.46994045773064624,0.7518570408972418
ru,literature,same_author_same_genre_same_topic,15,0.20164420895300514,0.3070884110951302
ja,news,different_author_same_genre_same_topic,15,0.41932709806142315,0.5244123399481716
fr,social_media,different_author_same_genre_same_topic,15,0.33685150138962977,0.4633693783804898
fr,social_media,same_author_same_genre_same_topic,15,0.4451288111254082,0.8606916869977268
fr,literature,different_author_same_genre_same_topic,15,0.392555033966971,0.4453114128085639
ar,social_media,same_author_same_genre_same_topic,15,0.7024915778862117,0.9872111104786457
es,literature,same_author_same_genre_same_topic,13,0.4823768873391577,0.6389523815047186
ar,poetry,same_author_same_genre_same_topic,13,0.16603682515100365,0.24631405706939744
fr,literature,same_author_same_genre_same_topic,12,0.39952570256551057,0.46936025454307323
ja,news,same_author_same_genre_same_topic,12,0.5289370901315067,0.9457070338300861
de,social_media,different_author_same_genre_same_topic,12,0.475312545769496,0.6579609338326982
ru,social_media,same_author_same_genre_same_topic,12,0.3546493330123773,0.8321975737346341
en,news,same_author_same_genre_same_topic,11,0.32357447723245447,0.4461957262257892
de,social_media,same_author_same_genre_same_topic,11,0.6683336002053373,0.9166891420360136
en,blog,same_author_same_genre_same_topic,9,0.38882444133176974,0.5732209862740625
de,literature,same_author_same_genre_same_topic,9,0.3671448956865032,0.49638129355688515
de,literature,different_author_same_genre_same_topic,9,0.38817479016555684,0.43200287401713683
zh,media_reviews,same_author_same_genre_same_topic,4,0.050084622780074695,0.10019452763414446
