pair_type,lang,primary_genre,topic_cluster,cosine_similarity,doc_id_1,doc_id_2,author_id_1,author_id_2,token_length_1,token_length_2,length_ratio,split_1,split_2,doc_type_1,doc_type_2,source_1,source_2,text_snippet_1,text_snippet_2
same_author_same_genre_same_topic,es,literature,2,0.556820585889022,mix_026272,mix_026273,8618cb606766a21148b9e1971fe59763989785c36efaee5edf67ab3b0ebfa557,8618cb606766a21148b9e1971fe59763989785c36efaee5edf67ab3b0ebfa557,344.0,380.0,1.1046511627906976,train,train,query,candidate,spanish_pd_books,spanish_pd_books,"caiga c! ibmbrero.o le hiera el cauallo, v otro definan de losdc la ley.de fuerte que en fu co cepto lienta quedar ajado el no facarla entoncesjenelmionolo cfcufaiá el guardarla obferuancia délos preccptos.porquefonma...","«Jole quatro dedosde los cuernes.azialainuma cabcea.cs'muy cócingcntc con pocoq cntielaeipada.mararle, porcortaile hi cuerdacj le :.;Ouierna,qi!e por aquella parte de la nuca la tiene mat dclcubieita, y caerá luego de..."
same_author_same_genre_same_topic,es,literature,2,0.4221299438190471,mix_026663,mix_026664,adde0693b4f8272d418ead7cbc90250554b047b00bae4171ff219272c765a452,adde0693b4f8272d418ead7cbc90250554b047b00bae4171ff219272c765a452,408.0,365.0,1.1178082191780823,train,train,query,candidate,spanish_pd_books,spanish_pd_books,"' Mas como yuan en bufca de aquel tytano ColTano Sanfhn bailaron furgído en mar blanca,delante Porto Fariña^ pocos días defpues del gloriofo precurfor Bapnfta. Cierto queíie la ocafion mas que buena., puesíftaua dotmi...","fagre 5^ vidas , determinatori de que tuefíe ahorcado a lad’ ma de la entena de la Capí tana Malteza, y boca paraabaxo, halla que dio fu alma al núfmo que la,recibió,la de aquel mal dito Mahoma. Todo lo.fufodichoz nar..."
same_author_same_genre_same_topic,es,literature,2,0.40260987797617354,mix_026394,mix_026393,92f9dd8302b27ab439fa8424a5a32db922d6da845681e28f1e11453a104bddf7,92f9dd8302b27ab439fa8424a5a32db922d6da845681e28f1e11453a104bddf7,366.0,272.0,1.3455882352941178,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"13 6 lar din ZÍfyCyftico, dexó próvifion al Convento para un año, y fíete doblones en el depofito. 6 Fué eíla V. Madre íingularmente virtuofa jy no havia virtud, que en alto grado no la defeára pracTicár. Velava fiemp...","Fili -, ó » J)eü,& ipCc curabit te. Dolor,f>a«itnt'u vin«etüí. $enteA> grande.embidia al Demonio. Era ordinario, que defpues de haver concluido la Comunidad en el Coro, fe quedava por largo tiempo la Sierva de Dios al..."
different_author_same_genre_same_topic,es,literature,2,0.43995894545210934,mix_027076,mix_025899,dcf50997c15f734bab31736095a9a5f8d8b9f8348cb08640f55275363e95b378,60386b0c00b379598722f8b84d4850251ff8101583c89017fe056a8577e30bff,334.0,364.0,1.089820359281437,train,train,query,query,spanish_pd_books,spanish_pd_books,Pi a .§ u ib£ El Medico de si mifmo; que el mejor partido que podia toma? era exercitar la Medicina un poco mas decentemente que lo avia hecho hafta: entonces: para efto procuró retener algunas palabras latinas de las...,"tales razones, que pa ­ fefcen verdaderas, yliguiendoá quaiquieí­.; См 34 DIALOGO ra de ellas: hade feria manera del curar particular, y contraria á la otra. De manera que pues de eftas caufas & origines es cota tan d..."
different_author_same_genre_same_topic,es,literature,2,0.4296472259461759,mix_025727,mix_026663,4d4e1b3b44316797db9b163ae18e5afad71539f02a5cf38b15f06b202bd66bf2,adde0693b4f8272d418ead7cbc90250554b047b00bae4171ff219272c765a452,357.0,408.0,1.1428571428571428,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"Reboluieron fobreel vaxel, ya hora de medio día fue alcançado, y reconocido por Turquefco,ccmençaron a combatirlo con ti­ ros, el qual fin mucha defenfa fe rindió, y entrando en el, lo toma­ ron, que eftaua cargado de...","' Mas como yuan en bufca de aquel tytano ColTano Sanfhn bailaron furgído en mar blanca,delante Porto Fariña^ pocos días defpues del gloriofo precurfor Bapnfta. Cierto queíie la ocafion mas que buena., puesíftaua dotmi..."
different_author_same_genre_same_topic,es,literature,2,0.40886492518918094,mix_026920,mix_025230,cc135ee29490ecc3024d541815887c841ef9d4a5a4d39d377cf67f138dfbf3c8,163695e94eb44c996f9203c76612b291abe1344d02013e80ffa2947659325a54,406.0,465.0,1.145320197044335,train,train,candidate,candidate,spanish_pd_books,spanish_pd_books,":g ~ ut:5 ~ ., ~ ~ ~ r~ ~ ~ :i ~ :g Vl3 e~ ""'~ ~ ~ .,~ ~~ V~ t:g u~ ~ ""~ =~ uf! • t Todos rub lica nel gozo, Y,·l eahnentc prorumpen Demoníl:racioncs lucidas, Qye en fiel competencia fe vnen. Lunes veinte y dos de May...","y es aliento inhumano, ~ (lar J 1 e 3. ' un temor ,LientoS '"" (Je 1 eyrano. :'.v-; ~Jli. • La Agl1ia, q'c del Sol bebe los rayos, ~~ negJr quiere. a la noche fus defmayos, ~¿ de modo alnva generofament~, ~ que immdada..."
different_author_same_genre_same_topic,es,literature,3,0.33747510903754496,mix_025043,mix_027065,02df0e288bc69691403dba83d0fc57ac13ad1f7310b3f1511b7eca30340ed65d,db7f78557e13f109a2c9c4c5c82bea95a45f5cd50ef409233caed020e79ef334,101.0,126.0,1.2475247524752475,train,train,query,query,spanish_pd_books,spanish_pd_books,"«Oportuno Defensor de mi fama y de LXXXV Quién de aquí, quién de allí Cada uno se le aparece, á los otros ve con celo, A todos ella acoge, y aun parece Que cada cual le da gozo y consuelo. Nota Gofredo apenas amanece ...","; 11 — derrota á quién. CASTO. Si el demonio va ROQUE. á impedir mi acción, de la tentación Dios me librará. Pronto, oh mi Dios!, veremos bien quién de los dos derrota á quién. Frente á frente ya, va á empezar la acci..."
different_author_same_genre_same_topic,es,literature,3,0.27586467969056006,mix_026826,mix_026561,c11004532e35a57b2c1541f8b1bd2e6e75dbb992ac5ea1b6a2d31ad756d36f6b,a30e2b668551b800de770eee074db427d5d5ffbecb20a1a11d07125d5bc404a1,246.0,317.0,1.2886178861788617,train,train,candidate,candidate,spanish_pd_books,spanish_pd_books,"siderada la milicia palatina que la milicia armada. Á los criados de palacio se les concedió el privilegio de que no solamente ellos, sí no también sus mugeres, sus hijos, y aun sus esclavos fueran esentos de muchas c...","—G3— sus eos ¿timbres, bien diferente todo de lo nuestro, en una palabra, vendría la desaparición de nuestra raza en la Isla, ó por lo menos, la reducción de la mismaá la más completa nulidad. Ahora bien, advertidas p..."
different_author_same_genre_same_topic,es,literature,3,0.27153497757272826,mix_025763,mix_026726,50a5a41150e58f437b889ceed140f0f5230b64df9138f66922dc46010649c3d0,b4d155b120347a44d240a42f03b9e1624c7b3a4c71270f7ef154688e0fad17ec,149.0,202.0,1.3557046979865772,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"—16— les silvestres, claro está que al llegar á su perfecto desarrollo físico no tendrá otras propiedades que las de aquellos animales en cuya sociedad vivió, Así pues, la educación es la joya de mayor precio que pode...","¿ Irán pues estos.Sres. de nuestra tutoría con los mismosde signios que tuvieron.aquellos venerables orates? No me atrevoá presumir tanto, al me'nos de Ja «universalidad de nues tros tutores. Mas probable.me parece,, ..."
different_author_same_genre_same_topic,es,literature,4,0.31441741267709766,mix_025064,mix_026106,05709593c8fc6d4b64abf03b63828ed34fe5c1eab4f9ffcce2802ebc5dda7e08,75922e551fa0bbb811c3435ddf2c55a41ba7bf2f347a846f03ba35dc2641bfe2,114.0,106.0,1.0754716981132075,train,train,candidate,query,spanish_pd_books,spanish_pd_books,"0,072 0,070 0,200 0,34'2 ¡:.tramus. Total de snstasu.ia« .fijas irlcm. litros; gramos. Acido carbónico. 0,01;) Evaporado un litro ele agna hasta sequedad dejó corno rcsicluo. . 0)340 AC¡¡:A DE lilLIlAL. ""1.](. Marcó ,...",Cahíz Fanega Celemín Cuartillo Hectolitro Decalitro Litro Cántara Azumbre Cuartillo Decalitro Litro = 666'012 = 5&'ó0 = 4'625 = 1'156 = 1^802 == 2''162 = 0'865 PARA LÍQUIDOS Litros. Litros. Litros. Litros. Fanegas. Ce...
